,0,0
258,"

In recent weeks, Iran has been storing more oil onshore and at tankers at sea as it looks to continue producing oil, but its crude exports are severely restricted by the U.S. sanctions, Reuters reported on Thursday, citing industry sources and ship-tracking data.Last month, the United States put an end to the six-month sanction waivers to all buyers of Iranian oil. A growing number of importers, refiners, insurers, and ship owners prefer to steer clear of dealings with Iranian oil instead of risking secondary sanctions or being cut off the U.S. banking and financial system.  Iran’s oil exports so far in May have probably averaged just 500,000 bpd or lower, according to tanker data and industry sources, cited by Reuters last week.



This compares to 1 million bpd and even more that Iran exported earlier this year, before the end of all U.S. sanction waivers.In early May, no tanker was seen leaving Iran for a foreign port, but Iran is believed to have increased the use of the ‘switch-off-the-transponder’ tactic, which makes tracking its exports via the AIS systems increasingly difficult and opaque.Iran, however, wants to keep pumping crude from its fields because if it stopped extracting oil, resuming production from those fields—many of them ageing—would require a hefty investment.



So the Islamic Republic is storing increasing volumes of its oil on land and at sea.Iran’s oil storage on land is estimated at 46.1 million barrels out of a total capacity of 73 million barrels, according to data from Kayrros, which tracks oil flows. This estimated volume of oil stored onshore is at its highest level since the middle of January. At sea, Iran is believed to currently store some 20 million barrels of oil on 16 Iranian tankers, up from 12 tankers with at least 13 million barrels in March, according to data from shipping intelligence platform MarineTraffic, cited by Reuters.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Kuwait, Qatar Look For Alternatives For Strait Of HormuzAlberta Introduces Carbon Tax Repeal BillU.S. Energy Storage Capacity Set To Double This Year


",
259,"

The world’s newest offshore hotspot, Guyana, is in the early stages of a probe into how oil exploration rights were awarded for oil blocks that are currently controlled by ExxonMobil and Tullow Oil, Clive Thomas, director of Guyana’s State Assets Recovery Agency, told Bloomberg in an interview published this week.Neither Exxon nor Tullow Oil are targets of the investigation. The two companies are not accused of any misconduct either. They are operators of the oil blocks which will be included in the scope of the investigation as the current administration in Guyana is looking to assess the procedures under which the oil blocks had been awarded.  The Stabroek, Kaieteur, Canje, and Orinduik blocks will be part of the investigation. Exxon is operator of Stabroek, Kaieteur, Canje, while Tullow Oil operates the Orinduik block.



“We’re building up a case. This is an area of investigation into how the blocks were allocated and the decisions that were made,” Thomas told Bloomberg.The little known South American country bordering Venezuela has become one of the world’s top hotspots for oil offshore operators in just a few years. Some critics of the way Guyana handled the oil block leases, such as the president’s former energy adviser Jan Mangal, argue that Guyana sold off its oil riches too cheaply. A curious fact was also the timing of a lease for the Kaieteur block to Exxon in the final days of the previous administration in 2015—the awarding of the block took place just nine days before Exxon announced its first (of now more than a dozen) discoveries offshore Guyana.Related: Kuwait, Qatar Look For Alternatives For Strait Of HormuzExxon was the world’s top oil and gas explorer in 2018, thanks to its significant investment in Guyana, according to Rystad Energy’s annual exploration review.



Guyana is one of Exxon’s key growth areas for the coming years, alongside the Permian.Earlier this month, Exxon gave the green light to the development of Liza Phase 2 offshore Guyana after it received government and regulatory approvals. Phase 2 is expected to begin producing up to 220,000 bpd in mid-2022, while Phase 1 is on schedule for first oil by first quarter of 2020, with up to 120,000 bpd of production.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Alberta Introduces Carbon Tax Repeal BillThe Silence Before The Storm In Oil MarketsThe Myth Of Cheap Shale Oil


",
260,"

Thailand’s Energy Ministry has asked regulators to keep a close eye on developments in the Middle East lest these cause an oil and gas shortage in the import-dependent country, local media report.According to the Bangkok Post, the ministry had also ordered six oil refineries to start reporting their supply rates and sales volumes as well as throughput on a daily basis. Until now, refineries had to report these on a monthly basis.Thailand’s strategic petroleum reserve is required to hold enough of the commodity for 30 to 45 days, which is within the average standard globally, and the ministry has not yet proposed to change this in anticipation of a possible supply shortage. Yet it is preparing for higher prices: the ministry said the country’s State Oil Fund has a sufficient amount of money in it to respond to price hikes.



rude oil is the top import commodity in Thailand, with refined oil products its top export commodity. The country produces oil locally as well, but nowhere near enough to satisfy demand. The average daily production has been falling as well: from over 150,000 bpd in 2017 to about 120,000 bpd since the start of 2019.The saber-rattling in the Middle East has got more than just Thailand worried about oil prices. An exchange of thinly veiled threats between President Trump and the Iranian government was what sparked the latest bout of worry on the oil market as some expect an open military conflict.Related: Natural Gas Prices In The Permian Flip Negative Again



The worry spiked when the U.S. ordered the evacuation of all non-emergency government employees from Iraq, suggesting the evacuation could be part of preparation for open confrontation with Iraq’s neighbor, Iran. Exxon also evacuated staff from the West Qurna 1 field in Iraq citing security concerns, which prompted a reaction of dissatisfaction from Baghdad.Despite the intensifying concern about a possible confrontation in the Middle East, prices have not trended as high as they might have a few years ago before U.S. production really took off. Although Brent is still around US$70 a barrel, with WTI above US$60 a barrel, the benchmarks have yet to rise to US$80 and over as some analysts have predicted.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Red Flag For Oil Markets: Asian Refining Margins Plunge To 16-Year LowU.S. Energy Storage Capacity Set To Double This YearThe Silence Before The Storm In Oil Markets


",
261,"

The United States has resumed—at least for the time being—oil imports from Venezuela, according to new data published by the Energy Information Administration (EIA).The United States saw a decrease in oil imports from Venezuela starting in week ending February 1 2019, when shipments fell to 345,000 barrels per day, from between 500,000 and 700,000 bpd earlier in the year. In earlier 2017 prior to any of the sanctions, Venezuela shipped over 1 million barrels per day to the US.The United States has long relied on Venezuelan oil imports to feed its perfectly suited oil refineries with heavy oil.



In March, these shipments trailed off complete for a few weeks, then resumed sporadically in April. The first few weeks of May saw zero oil imports from Venezuela to the United States, as the US continues to sanction Venezuela to effect change by way of ousting Nicolas Maduro.But for week ending May 17, oil shipments again resumed, in small quantity, to the tune of 49,000 barrels per day. The rogue shipment of oil to the United States means that the United States still hasn’t gone a whole month without taking any Venezuelan crude—ever.US refiners are still able to complete the transactions with Venezuela’s PDVSA that they had contracted prior to the United States implementing sanctions in January, although they are obligated to place the funds into a separate account that PDVSA cannot access.



Prior to the sanctions going into effect, Chevron’s Pascagoula refinery, Citgo’s Lake Charles and Corpus Christi refineries, and Valero’s Port Arthur and St. Charles refineries chewed up more than 90% of all the Venezuelan crude oil that came into the United States.The uncertainty around the rules for paying for the cargoes has caused quite the confusion, with some cargoes earlier stranded off the coast of Venezuela waiting for payments to clear. Citgo and Valero have proposed returning crude oil to Venezuela that had already been loaded prior to sanctions going into effect, and Chevron had previously tried to find a way to pay PDVSA for millions of outstanding barrels, according to Reuters.It is unclear to whom the 49,000 barrels was delivered.By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.com:The Silence Before The Storm In Oil MarketsThe Myth Of Cheap Shale OilMoscow May Use ‘Nuclear Option’ In European Gas Race


",
262,"

Staying true to their promise from the campaign trail, Alberta’s Conservatives have introduced a bill to repeal a carbon tax introduced by their predecessors at the helm of the province, the New Democratic Party.Reuters reports that the repealment of the carbon tax was planned to be the first piece of legislation to be tabled by the new Conservative government of Jason Kenney, but adds that it would automatically enact a federal law on carbon taxes that targets provinces that do not have their own legislation to this effect.“The carbon tax has been all economic pain and no environmental gain. If Justin Trudeau’s government then seeks to impose a federal carbon tax in Alberta, we will see him in court,” Alberta’s Premier told media. This will add Alberta to three other provinces that have taken the federal government to court over the carbon tax: Ontario, Manitoba, and Saskatchewan. The last of these provinces lost its case in a win for the federal government.



According to the Alberta government, repealing the tax will bring more than a billion dollars into the provincial coffers and create as many as 6,000 new jobs—a sensitive issue in the energy industry-dependent province that has yet to fully recover from the 2014 oil price crisis.The carbon tax repealment effort is just part of Jason Kenney’s agenda. The new Premier came to power pledging to help the industry recover and so far he has been following his priorities in this respect.Related: Hydrogen Fuel Tech Just Got A Major BoostAs soon as it became clear who won the elections in Alberta, Kenney threatened British Columbia to turn the gasoline tap off “within an hour” of taking office if it continues to try and stop the Trans Mountain expansion. While he didn’t do that, he did immediately table the pipeline issue at talks with the Premiers of both British Columbia and Quebec once he took office earlier this year.



“You don’t start a relationship by shouting at each other. You start it by talking and trying to find common ground,” the Alberta Premier-designate told media. “We will begin with the path of diplomacy and … we hope that we don’t need to use more forceful measures to assert Alberta’s vital economic interests,” the Alberta Premier told media at the time.In addition to pipeline pressure and the removal of the carbon tax, Kenney has said he planned to hold a referendum in Alberta regarding the so-called equalization payments that the federal government distributes to smooth out financial inequalities among provinces. Plans are to tie these payments to the construction of new pipelines.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Natural Gas Prices In The Permian Flip Negative AgainThe Silence Before The Storm In Oil MarketsMoscow May Use ‘Nuclear Option’ In European Gas Race


",
263,"

As tensions in the Middle East continue to escalate with Iran threatening to choke off shipments through oil’s most critical chokepoint, the Strait of Hormuz, two countries are looking for a workaround to avoid the Strait in the event of a closure, according to an Iraqi lawmaker said on Wednesday, cited by Kurdistan24.Regardless of how unlikely it may be that Iran make good on its threat to close the Strait of Hormuz should the United States effectively bring Iran’s oil exports to zero, the countries that rely on the shipments through the Strait are working in the background, pre-emptively finding a way around should the worst-case scenario come to fruition.Qatar and Kuwait have both approached Iraq, proposing to use Iraq “as an alternative path for oil transport” should the need arise, through the Iraqi pipeline.



On Tuesday, Iraqi Prime Minster Adil Abdul-Mahdi suggested that it would be possible to move Iraqi oil through the Kurdistan region to the Port of Ceyhan in Turkey.Source: USAID



Threatening to close off the Strait of Hormuz is a particularly mouthwatering prospect that sees about 18.5 million barrels per day of oil through its narrow passage, according to the EIA, about 80% of which heads to Asian markets.""According to international law, the Strait of Hormuz is a marine passageway and if we are barred from using it, we will shut it down. In case of any threat, we will have not even an iota of doubt to protect and defend the Iranian waters. We will defend our prestige and embark on reciprocal acts when it comes to defending Iran's right,"" Iranian Fars news agency quoted Navy Rear Admiral Alireza Tangsiri, Commander of the Islamic Revolution Guards Corps (IRGC) as saying last month.By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.com:Moscow May Use ‘Nuclear Option’ In European Gas RaceBearish EIA Data Sends Oil LowerWar With Iran Could Send Oil To $250


",
264,"

Russia is sending clean within-standards crude oil via the Druzhba pipeline toward Hungary and Slovakia, with first clean oil expected to arrive at the metering stations in those countries within a week, Russia’s energy ministry said on Wednesday, a month after supplies were halted due to contaminated crude.Russia also continues negotiations with Poland in view of restarting the crude oil flow via the pipeline to the Adamova Zastava station, Russian media quoted the country’s energy ministry as saying in a statement.The now month-long suspension of Russian oil supply via pipeline to several European countries comes as global supply outages mount with Venezuela and Iran, and with increasing supply disruption risks in Libya or in the Middle East.



Last month, Russia halted supplies via the Druzhba oil pipeline to several European countries due to a contamination issue, which the Russians say was deliberate.  The oil was contaminated with organic chlorine, a substance used in oil production to boost output but dangerous in high amounts for refining equipment. The amounts of the chemical were found to be at levels much higher than the maximum allowable amount.The Russian oil supply contamination has disrupted the refinery operations of some companies. Total, for example, halted last week some of the units at its 230,000-bpd Leuna refinery in Germany to conduct technical checks. On Thursday, Total declared force majeure on shipments of refined oil products from the Leuna refinery.



Total and Eni are said to have suspended payments to the Russian companies that sold them contaminated crude, in a new controversy in what trading sources described to Reuters as the “biggest Russian oil supply disruption ever.”  Russian pipeline operator Transneft will compensate its customers for the losses they have sustained due to the contaminated oil, Russian Deputy Prime Minister Dmitry Kozak said last week, noting that refiners must first prove their damage and loss in order to claim compensation.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Why China Hasn’t Slapped Tariffs On U.S. Oil ImportsWhat The Market Is Overlooking In The Occidental DealU.S. Shale Oil Production Set To Grow 16% This Year


",
265,"

Iraq will raise the oil production from its giant West Qurna 1 field by as much as 50,000 bpd in the next few days, a senior industry official told Reuters on Wednesday, days after the oil field developer ExxonMobil evacuated all its foreign staff from the field amid security concerns.Currently, the West Qurna 1 oil field pumps around 440,000 bpd, while Iraq’s intention is to increase that production to 490,000 bpd within days, Basra Oil Company chief Ihsan Abdul Jabbar told Reuters.Last week, ExxonMobil began evacuating its engineers working at West Qurna 1 as security concerns mounted with the heightened tension in the Middle East amid the U.S.-Iran and Saudi-Iran standoffs. Other international oil majors, including BP and Chevron, are said to be monitoring the situation in Iraq very closely.



The exodus from Iraq comes after the United States ordered last week the evacuation of all non-essential government employees from Iraq citing security concerns, adding that the US embassy in Iraq would suspend visa services and would have a “limited ability to provide emergency services to US citizens in Iraq.”The security issues came to light mid-week last week after the United States ordered all non-essential personnel evacuated from the country citing possible threats from Iran, presumably via the Iraqi Shi’ite militia.Related: New Middle East Proxy War Could Jolt Oil PricesIraq was not happy with Exxon’s hasty evacuation of all foreign personnel from West Qurna 1, with its oil minister Thamer Ghadhban saying the exit was “unacceptable and unjustified.” According to the Iraqi minister, Exxon’s staff evacuation has nothing to do with security threats, instead arguing that it was politically motivated.



Earlier this month, Iraq was close to signing a mega US$53-billion deal with Exxon and PetroChina to develop oil fields in the south. The deal was “very close” but has been slowed by Exxon’s departure from Iraq, Ghadhban said this weekend.  Any security-risk-related disruption of oil production in Iraq—OPEC’s second-largest producer after Saudi Arabia—would not go unnoticed on the oil market, which has already started to consider a perceived higher risk of supply outages in the Middle East. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:The Fear Driven Oil Price Rally Won’t LastPermian Pipeline Protesters May Face Decade Behind BarsHydrogen Fuel Tech Just Got A Major Boost


",
266,"

A subsidiary of Occidental and Canadian clean energy company Carbon Engineering are teaming up to build the world’s biggest Direct Air Capture (DAC) and sequestration facility in the Permian that will suck carbon dioxide from the air to be later used in enhanced oil recovery.Occidental’s subsidiary Oxy Low Carbon Ventures (OLCV) and Carbon Engineering are proceeding with the engineering and design of this facility aimed at capturing 500 kilotons of carbon dioxide (CO2) directly from the atmosphere each year, which would be used in Occidental’s enhanced oil recovery (EOR) operations and subsequently stored underground permanently, the companies said in a joint statement.In case the two companies approve the plant, construction is expected to start in 2021, and the plant is set to be operational some two years later.



“Using atmospheric CO2 for oil recovery greatly reduces the net addition of CO2 to the atmosphere from oil production and fuel use, and opens a pathway to producing fully carbon-neutral or even net-negative fuels,” OLCV President Richard Jackson said.“These carbon removal technologies need to be deployed widely and at large enough scales to be climate-relevant,” Steve Oldham, CEO at Carbon Engineering, said.Carbon Engineering—a privately owned company funded by private investors, including Bill Gates and Murray Edwards—said last year that it had developed an affordable way to capture CO2 from the atmosphere and convert it into clean fuels. Not only are the scientists sucking CO2 out of the air, but they are also commercializing a process which uses water electrolysis and fuels synthesis to produce clean liquid hydrocarbon fuels that are drop-in compatible with existing transportation infrastructure.



Occidental, for its part, is already using CO2 to enable low-cost EOR and will have a lot more Permian operations after it outbid Chevron and signed earlier this month an agreement to buy Anadarko in one of the largest deals in the oil industry in the past few years. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:New Middle East Proxy War Could Jolt Oil PricesChinese Oil Buyers Shun U.S. CrudeNatural Gas Prices In The Permian Flip Negative Again


",
267,"

Rising U.S. production weighed on oil prices in the first quarter compared to the same period last year, and those lower prices, combined with weak refining margins, impacted the revenues and net profits of many of the world’s largest listed companies in the oil industry.According to data compiled by Anadolu Agency from the Q1 2019 reports of the 12 top listed companies in the oil industry—ExxonMobil, Chevron, ConocoPhillips, Halliburton, Schlumberger, Baker Hughes, BP, Royal Dutch Shell, Total, Eni, Equinor, and Rosneft—the combined net income and revenues at those companies were lower in the first quarter this year compared to Q1 2018.According to Anadolu Agency’s calculations, the combined revenue of these 12 companies declined by 4.63 percent annually to some US$393.5 billion in Q1 2019. The combined net profits dropped by 4.45 percent—to US$23.6 billion from US$24.7 billion for Q1 2018.



Shell was the top performing company with the highest net profit and revenue in absolute terms, according to Anadolu Agency’s estimates.Shell was one of the last oil supermajors to report Q1 earnings and it was the one that stood out among the crowd with better-than-expected results, as its trading and natural gas businesses offset weak oil prices and depressed refining margins that plagued the other majors in the Q1 earnings season.Volatile crude prices and weak refining margins led to lower earnings at all five oil supermajors in the first quarter of 2019, suggesting that Big Oil shouldn’t stay complacent several quarters after the industry emerged from one of the worst downturns in a generation.



Big Oil’s five majors—ExxonMobil, Chevron, BP, Total, and Shell—reported a mixed bag of results for Q1. While net earnings at all companies were lower than last year’s first quarter on the back of lower average Brent Crude prices compared to Q1 2018 and weak refining margins that battered downstream earnings, some supermajors, such as Shell, met and even exceeded analyst expectations thanks to strong trading profits and to their natural gas businesses.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oman’s Newest Approach To Boost Oil ProductionNew Middle East Proxy War Could Jolt Oil PricesCould This Emerging Oil State Become The Richest Nation In The World?


",
268,"

Saudi Aramco struck a deal with U.S. Sempra Energy to buy 5 million tons of liquefied natural gas annually from Sempra’s Port Arthur LNG plant, Reuters reports, citing the two companies, which confirmed an earlier report in the Wall Street Journal.The Port Arthur facility has yet to be built and Aramco has also negotiated a 25-percent stake purchase in its first phase of development. The project includes the construction of two liquefaction trains along with up to three storage tanks and the relevant infrastructure.Sempra has five LNG projects under development right now, in Louisiana, Texas, and Mexico, that together will have the capacity to produce 45 million tons of LNG, The company’s CEO told Reuters in March. That’s more than what Cheniere Energy, the current leader in this space, plans to have in terms of capacity at its two LNG plants in Sabine Pass and Corpus Christi.



Yet now, according to the joint statement, the Port Arthur facility’s capacity alone could be expanded to 45 million tons annually. According to the statement, “Port Arthur LNG could be one of the largest LNG export projects in North America, with potential expansion capabilities up to eight liquefaction trains or approximately 45 Mtpa of capacity.”“Port Arthur LNG could be one of the largest LNG export projects in North America, with potential expansion capabilities of up to eight liquefaction trains or approximately 45 mtpa of capacity,” Aramco and Sempra said in a joint statement.Related: OPEC+ Top Priority: Don’t Crash Oil PricesNatural gas in general and LNG specifically are part of Aramco’s diversification plans for the future, with the Saudi state company planning to expand quickly into them and away from crude oil, reflecting changing global demand patterns.



U.S. LNG is an obvious choice for the company, especially after the European Union pledged to boost its imports of U.S. LNG twofold within five years. However, Aramco is also eyeing a stake in Russian LNG. There have been media reports for several months now that the Saudi company may join French Total and Chinese CNPC and CNOOC in Novatek’s Arctic LNG 2 project, which will have an annual capacity of 19.8 million tons.Total and the two Chinese companies have already agreed to buy 10 percent each in the project, which leaves another 10 percent for Aramco, since Novatek wants to retain a 60-percent interest in the project.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:The Fear Driven Oil Price Rally Won’t LastPermian Pipeline Protesters May Face Decade Behind BarsHydrogen Fuel Tech Just Got A Major Boost


",
269,"

The American Petroleum Institute (API) reported another surprise build in crude oil inventory of 2.4 million barrels for the week ending May 17, coming in over analyst expectations of a 2.53-million-barrel drawdown in inventories.Last week, the API reported a surprise build in crude oil inventories of 8.6 million barrels. A day later, the EIA estimated that US inventories had increased by 5.4 million barrels.Including this week’s data, the net build is now 31.92 million barrels for the 21-week reporting period so far this year, using API data.


Oil prices rose early on Tuesday before sinking in the early afternoon, with the market left wondering how to accurately weigh the geopolitical stressors such as sanctions on Iran and Venezuela, attacks on Saudi- and UAE-owned oil tankers off the Strait of Hormuz, and US/China trade talks.WTI was trading down on Tuesday before the data release at $63.03, down $0.18 (-0.28%) on the day at 12:38pm. WTI was still trading $1 up week on week. The Brent benchmark was also trading down on the day at $71.83, down $0.14 (-0.19%) at that time. The Brent benchmark was trading up just $.40 week on week.The API this week reported a small build in gasoline inventories for week ending May 17 in the amount of 350,000 barrels. Analysts estimated a draw in gasoline inventories of 1.516-million barrels for the week.Distillate inventories fell by 240,000 barrels for the week, while inventories at Cushing rose by 870,000 barrels.



US crude oil production as estimated by the Energy Information Administration showed that production for the week ending May 10—the latest information available—fell for the second week in a row to 12.1 million bpd from the all-time high of 12.3 million bpd two weeks prior.The U.S. Energy Information Administration report on crude oil inventories is due to be released on Wednesday at 10:30a.m. EST.By 4:40pm EST, WTI was trading down at $63.01 and Brent was trading up at $72.04.By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.com:The Threat In Iraq Is Being OverblownOne Country That Could Win Big From The U.S., China Trade WarWhy Oil Is Still Underpriced


",
270,"

The United States is increasing its oil imports from Russia, according to a Bloomberg source, as US refineries clamor for more oil now that Venezuelan oil supplies have dried up.The amount of oil that flowed into the United States from Russia so far in May was exponentially greater, said Russ Dallen of Caracas Capital Markets. United States took a total of 5 million barrels of Russian crude so far this month, and more are on the way.



The United States imported less Russian crude in January and February, purchasing a total of 16.13 million barrels of crude and other oil products, according to the Energy Information Administration. This compares to 20.25 million during that period in 2018. But the US is expected to increase this as much as three times now that Venezuela is no longer a crude supplier to the United States.In January and February, Venezuela shipped 27.67 million barrels to the United States. This is lower than in January and February 2018, when oil shipments from Venezuela to the United States came in at 29.589 million for the two-month period—the latest official EIA data available—with an expectation that these have plummeted to zero in May.



The data suggests that Russia is all too happy to pick up the slack left by Venezuela and profit from it—much like Saudi Arabia and the UAE are happy to do as Iranian oil exports fall to new lows. For Russia, this could be viewed as a rather opportunistic hedge against the money it has lent to Venezuela, with slim hopes of Venezuela ever paying it back.By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.com:Hydrogen Fuel Tech Just Got A Major BoostOil Stabilizes Ahead Of Weekly Inventory DataU.S. Shale Oil Production Set To Grow 16% This Year


",
271,"

More than 99 percent of BP’s shareholders voted in favor of a climate change shareholder resolution on Tuesday, pushing the UK oil and gas supermajor to set out a business strategy consistent with the climate goals of the Paris Agreement.BP, along with other oil majors, has been facing increased investor pressure to start addressing climate change risks and set emission reduction targets if the world is ever to achieve the Paris Agreement targets.At BP’s annual general meeting in Aberdeen on Tuesday, 99.14 percent of shareholders voted for the binding climate change resolution filed by investors acting as part of the Climate Action 100+ investor initiative, and supported by the BP board.



“Investors will reserve judgement and expect BP’s response to be sufficiently robust. They will pay close attention to how it addresses emissions across its full value chain and expect to see clear evidence that any future material capex investment is consistent with the goals of the Paris Agreement,” said Stephanie Pfeifer, a member of the global Climate Action 100+ Steering Committee and CEO at the Institutional Investors Group on Climate Change (IIGCC).Another, more stringent resolution calling for BP to include emissions of its customers in climate goals, was rejected by BP’s shareholders. Such customer-emission reporting is not supported by BP’s management either. Shell, for example, announced earlier this year its first-ever short-term goals to cut the carbon footprint of its operations and product sales. In December last year, in an industry first, Shell said that it plans to set short-term targets for reducing the net carbon footprint of the energy products it sells, and to link those targets with executive remuneration. Related: The Single Most Bullish Indicator For Oil



However, Shell’s core business is and will continue to be oil and gas for the foreseeable future, the supermajor’s chief executive Ben van Beurden said last fall. “We aim play our part in the transition and to deliver on a strategy that is consistent with the goals of the Paris Agreement,” BP’s chairmanHelge Lund said at today’s shareholders meeting in Aberdeen, while climate change activists shouted “this is a crime scene” outside the building where the meeting was held.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:U.S. Shale Oil Production Set To Grow 16% This YearOPEC+ Top Priority: Don’t Crash Oil PricesWar With Iran Could Send Oil To $250


",
272,"

Malaysian state-controlled oil and gas company Petronas said on Tuesday that it had achieved first liquefied natural gas (LNG) production from its floating LNG facility Satu off the northeastern coast of the island of Borneo.Gas from the Kebabangan field is being fed to the PETRONAS Floating LNG Satu (PFLNG Satu) facility via a flexible pipeline. The floating facility is now used at a new location after producing LNG from the Kanowit gas field offshore a neighboring Malaysian state, where Petronas started a world first production of LNG from a floating LNG facility in 2017.“We not only prove our concept of relocatable floating LNG facility, but we have also seamlessly achieved the first LNG drop in just 3 days after first gas in,” Petronas Vice President of LNG Asset, Zakaria Kasah, said in a statement.



Malaysia is one of the top LNG producers in the world and will be facing stiff competition in the coming years from a wave of new LNG projects, especially in the United States.Rystad Energy forecast earlier this year that global LNG production will increase by 11 percent in 2019 and reach 350 million tons per annum on the back of more liquefaction capacity.Related: OPEC+ Top Priority: Don’t Crash Oil Prices“This is mostly driven by the commissioning of US projects. The US is expected to see capacity more than double in 2019, thereby making it the country with the third-largest exporting capacity and pushing Malaysia into fourth place. Australia could also overtake Qatar as the world’s largest LNG exporter this year,” Rystad Energy’s head of gas market research Carlos Torres Diaz said in February this year.



According to Wood Mackenzie, more than 60 million tons in annual production capacity is due a final investment decision this year—a record number and a hefty increase over the 21 million tons in capacity sanctioned last year. This could tip the market into oversupply, but not this year: LNG projects take years to build, Wood Mac said in January this year.In a more recent estimate, Giles Farrer, WoodMac’s Research Director, Global Gas and LNG Supply, said at the end of April:“While there is a risk that current low LNG prices may cause some proposed projects to be cancelled, we think the risk to new LNG supply development is actually to the upside. In our high case we anticipate that an additional 70 mmtpa could be sanctioned in the next three years.” By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:War With Iran Could Send Oil To $250One Country That Could Win Big From The U.S., China Trade WarOil Rises But Some Drillers Are Filing For A Second Bankruptcy


",
273,"

Despite criticizing the U.S. decision not to extend any sanction waivers for Iranian oil customers, Turkey appears to be fully complying with the U.S. sanctions on Iran’s oil, Reuters reported on Tuesday, citing tanker tracking data.Turkey was one of the eight buyers of Iranian oil that were given an initial six-month waiver to continue importing crude from Iran at reduced volumes after the U.S. slapped back sanctions on Iran in November last year. Under its ‘maximum pressure’ campaign against Iran, the U.S. ended all waivers for all Iranian customers as of early May.On the day on which the U.S. announced that it was not extending any exemptions to any Iranian oil buyer, Turkey’s Foreign Minister Mevlut Cavusoglu tweeted:“The US decision to end sanctions waivers on Iran oil imports will not serve regional peace and stability, yet will harm Iranian people. Turkey rejects unilateral sanctions and impositions on how to conduct relations with neighbors.”



Earlier this month, Cavusoglu said that Turkey will not be able to “quickly” source oil from alternate sources after the end of the U.S. waivers.  “It does not seem possible for us to diversify the sources of the oil we import in a short time,” Cavusoglu said.Turkey’s refineries, according to the minister, are not equipped to process crude oil from just any other country, and would therefore require retooling—something that is not only time intensive but costly.Related: War With Iran Could Send Oil To $250However, so far in May—the first month in which the U.S. doesn’t allow any sanction waivers on Iran’s oil—no tanker loaded in Iran has arrived at a Turkish port, according to Refinitiv tanker tracking data cited by Reuters.



Turkey’s biggest refiner Tupras had tried to negotiate a waiver before the end of the previous exemptions, but it wasn’t granted such and made it clear it wouldn’t import oil from Iran, a source familiar with the negotiations told Reuters.Before the U.S. withdrawal from the Iran nuclear deal in May of 2018, Turkey was importing nearly half—or 47 percent—of its crude from Iran, according to Reuters data.Subsequently, Turkey had reduced its imports from Iran and has started to buy more oil from Russia, Kazakhstan, and Iraq, to replace Iranian barrels, according to analysts.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oil Rises But Some Drillers Are Filing For A Second BankruptcyOne Country That Could Win Big From The U.S., China Trade WarOPEC+ Top Priority: Don’t Crash Oil Prices


",
274,"

Mid-cap oil and gas companies are having trouble securing fresh investments because fund managers are reorienting their priorities towards alternative energies, says the chief financial officer of one such company, UK-based Hurricane Energy, as quoted by Energy Voice.Private equity firms are still willing to invest in oil and gas exploration, but this is not the case with investors in public companies. As a result, Alistair Stobie told Energy Voice, the industry needs to do more to restore faith among investors that fossil fuels will have a role to play in the future energy mix even if it is a smaller one.



The biggest part of the problem facing medium-sized energy independents seems to be that most specialist investors—those focusing specifically on the energy industry—were “wiped out” during the latest industry downturn and now sector players are finding themselves having to deal with what Stobie called “generalist” investors: funds and institutions who spread their investments across many different industries and whose priorities are different.An important group among these is investment funds who are now placing a lot more emphasis on environmental, social, and governance factors than pure growth in returns. For now, the problem is not acute, the executive said, but in might become so in the future.



“There are fewer oil and gas experts available and the pressure not to invest is greater,” Stobie told Energy Voice. The rise of the generalist investors also means there is less specialist knowledge among investors about new discoveries and their future prospects, he added.Hurricane Energy is one of the private equity-backed energy independents that flooded the UK North Sea when the supermajors began to pull out to focus on quicker-return projects in U.S. shale and elsewhere. The company is operator of the Lancaster field, one of the largest recent discoveries in the area estimated to hold some 500 million barrels of crude oil.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:OPEC+ Top Priority: Don’t Crash Oil PricesOil Rises But Some Drillers Are Filing For A Second BankruptcyOne Country That Could Win Big From The U.S., China Trade War


",
