Date,Price
"Jun 03, 2020",37.33
"Jun 04, 2020",37.42
"Jun 05, 2020",39.49
"Jun 08, 2020",38.17
"Jun 09, 2020",38.98
"Jun 10, 2020",39.54
"Jun 11, 2020",36.43
"Jun 12, 2020",36.24
"Jun 15, 2020",37.07
"Jun 16, 2020",38.26
"Jun 17, 2020",37.91
"Jun 18, 2020",38.79
"Jun 19, 2020",39.72
"Jun 22, 2020",40.6
"Jun 23, 2020",40.4
"Jun 24, 2020",37.91
"Jun 25, 2020",38.66
"Jun 26, 2020",38.53
"Jun 29, 2020",39.67
"Jun 30, 2020",39.27
"Jul 01, 2020",39.88
"Jul 02, 2020",40.57
"Jul 06, 2020",40.51
"Jul 07, 2020",40.59
"Jul 08, 2020",40.91
"Jul 09, 2020",39.64
"Jul 10, 2020",40.56
"Jul 13, 2020",40.06
"Jul 14, 2020",40.3
"Jul 15, 2020",41.2
"Jul 16, 2020",40.74
"Jul 17, 2020",40.55
"Jul 20, 2020",40.83
"Jul 21, 2020",41.76
"Jul 22, 2020",41.88
"Jul 23, 2020",40.99
"Jul 24, 2020",41.23
"Jul 27, 2020",41.46
"Jul 28, 2020",40.89
"Jul 29, 2020",41.13
"Jul 30, 2020",39.85
"Jul 31, 2020",40.1
"Aug 03, 2020",40.83
"Aug 04, 2020",41.67
"Aug 05, 2020",42.25
"Aug 06, 2020",41.93
"Aug 07, 2020",41.16
"Aug 10, 2020",41.94
"Aug 11, 2020",41.53
"Aug 12, 2020",42.6
"Aug 13, 2020",42.26
"Aug 14, 2020",42.05
"Aug 17, 2020",42.89
"Aug 18, 2020",42.89
"Aug 19, 2020",42.91
"Aug 20, 2020",42.62
"Aug 21, 2020",42.32
"Aug 24, 2020",42.44
"Aug 25, 2020",43.17
"Aug 26, 2020",43.21
"Aug 27, 2020",42.88
"Aug 28, 2020",42.96
"Aug 31, 2020",42.61
"Sep 01, 2020",42.76
"Sep 02, 2020",42.76
"Sep 03, 2020",41.39
"Sep 04, 2020",39.69
"Sep 08, 2020",36.87
"Sep 09, 2020",38.05
"Sep 10, 2020",37.25
"Sep 11, 2020",37.33
"Sep 14, 2020",37.23
"Sep 15, 2020",38.29
"Sep 16, 2020",40.17
"Sep 17, 2020",40.99
"Sep 18, 2020",41.09
"Sep 21, 2020",39.26
"Sep 22, 2020",39.55
"Sep 23, 2020",39.92
"Sep 24, 2020",40.11
"Sep 25, 2020",40.06
"Sep 28, 2020",40.47
"Sep 29, 2020",39.03
"Sep 30, 2020",40.05
"Oct 01, 2020",38.51
"Oct 02, 2020",36.9
"Oct 05, 2020",39.12
"Oct 06, 2020",40.52
"Oct 07, 2020",39.82
"Oct 08, 2020",41.04
"Oct 09, 2020",40.44
"Oct 12, 2020",39.22
"Oct 13, 2020",40.03
"Oct 14, 2020",40.86
"Oct 15, 2020",40.84
"Oct 16, 2020",40.7
"Oct 19, 2020",40.69
"Oct 20, 2020",41.37
"Oct 21, 2020",39.88
"Oct 22, 2020",40.46
"Oct 23, 2020",39.73
"Oct 26, 2020",38.39
"Oct 27, 2020",39.34
"Oct 28, 2020",37.27
"Oct 29, 2020",35.94
"Oct 30, 2020",35.64
"Nov 02, 2020",36.6
"Nov 03, 2020",37.44
"Nov 04, 2020",38.97
"Nov 05, 2020",38.56
"Nov 06, 2020",36.97
"Nov 09, 2020",40.05
"Nov 10, 2020",41.18
"Nov 11, 2020",41.23
"Nov 12, 2020",40.9
"Nov 13, 2020",39.93
"Nov 16, 2020",41.14
"Nov 17, 2020",41.24
"Nov 18, 2020",41.64
"Nov 19, 2020",41.57
"Nov 20, 2020",41.99
"Nov 23, 2020",42.91
"Nov 24, 2020",44.71
"Nov 25, 2020",45.58
"Nov 30, 2020",45.2
"Dec 01, 2020",44.54
"Dec 02, 2020",45.23
"Dec 03, 2020",45.65
"Dec 04, 2020",46.23
"Dec 07, 2020",45.72
"Dec 08, 2020",45.64
"Dec 09, 2020",45.48
"Dec 10, 2020",46.76
"Dec 11, 2020",46.59
"Dec 14, 2020",47.02
"Dec 15, 2020",47.58
"Dec 16, 2020",47.86
"Dec 17, 2020",48.34
"Dec 18, 2020",49.04
"Dec 21, 2020",47.79
"Dec 22, 2020",47.02
"Dec 23, 2020",47.94
"Dec 24, 2020",48.18
"Dec 28, 2020",47.5
"Dec 29, 2020",47.85
"Dec 30, 2020",48.24
"Dec 31, 2020",48.35
"Jan 04, 2021",47.47
"Jan 05, 2021",49.78
"Jan 06, 2021",50.45
"Jan 07, 2021",50.63
"Jan 08, 2021",52.14
"Jan 11, 2021",52.15
"Jan 12, 2021",53.08
"Jan 13, 2021",52.81
"Jan 14, 2021",53.47
"Jan 15, 2021",52.25
"Jan 19, 2021",52.87
"Jan 20, 2021",53.16
"Jan 21, 2021",53
"Jan 22, 2021",52.28
"Jan 25, 2021",52.78
"Jan 26, 2021",52.61
"Jan 27, 2021",52.81
"Jan 28, 2021",52.26
"Jan 29, 2021",52.16
"Feb 01, 2021",53.55
"Feb 02, 2021",54.77
"Feb 03, 2021",55.67
"Feb 04, 2021",56.19
"Feb 05, 2021",56.8
"Feb 08, 2021",57.95
"Feb 09, 2021",58.34
"Feb 10, 2021",58.69
"Feb 11, 2021",58.22
"Feb 12, 2021",59.5
"Feb 16, 2021",60.07
